municipality,year,month,ndvi_mean,ndvi_std,evi_mean,evi_std,ndwi_mean,ndwi_std,s2_valid_px,vv_mean,vv_std,vh_mean,vh_std,s1_valid_px
City of San Pablo,2023,11,0.7582390567665702,0.2211173989809538,0.6000587278709538,0.634158879090679,-0.666874220037601,0.19056100302275894,334127,-6.023429629424667,2.712499195811767,-12.576356210539346,2.772437984625042,467961
City of San Pablo,2023,12,0.770890924510674,0.22466746465926166,0.5487927076039594,0.18567857237690424,-0.6820385892335853,0.1940180627505924,432990,-6.131302287026066,2.8156558450679867,-12.769660786414741,2.8212351945268757,467899
City of San Pablo,2024,1,0.4622670530851747,0.11766963150904367,0.5299197968977494,0.15528281621259946,-0.3833705230948141,0.09954460681853361,5073,-6.817798665258609,2.6958419178038158,-13.343604426441685,2.9143847910092715,467950
City of San Pablo,2024,2,0.6968626553081818,0.22111475624875243,0.4944365961317702,0.6473705160150416,-0.6442798836849021,0.18668000132603163,334410,-7.0486615347086765,2.720709580472339,-13.58600358089351,2.829323931498791,467997
City of San Pablo,2024,3,0.6158275740957831,0.17647542218775075,0.5143696683565813,0.17417945110457694,-0.5580776175589548,0.15211851626155404,117074,-7.367500919032729,2.8708717227430864,-13.778522370646062,3.007491124159652,467848
City of San Pablo,2024,4,0.5490675199602739,0.2310543926326551,0.49478050420788383,0.23654810987340869,-0.517256753359457,0.20308968935202487,87820,-7.862805488142219,3.1011877685334697,-14.448861500088833,3.3239143773150652,467695
City of San Pablo,2024,5,0.529681953163802,0.1991789474012125,0.432689379626856,0.8172117676537318,-0.513069179813007,0.1542378112993695,184739,-7.90434772540763,2.9993826795247043,-14.368166937912791,3.2875400108274664,467735
City of San Pablo,2024,6,0.5066986348912763,0.31832634308990104,0.4601276842761411,25.45411941798221,-0.4230741209423184,0.2832287048355273,16332,-6.621021466806805,2.670257741900374,-13.189628722342674,2.710727634962106,467898
City of San Pablo,2024,7,0.6047619701812915,0.16545696884004116,0.6168114068793823,0.16562955323004885,-0.5294882010114856,0.1415664720072758,261805,-6.443590097485057,2.7316596116668537,-13.180764036131716,2.7544927015766896,467805
City of San Pablo,2024,8,0.49759792594572444,0.13010884809782078,0.7383941027343601,0.2357449396283465,-0.42475336020215315,0.10778081657535721,48459,-5.990384934879398,2.552060910348861,-12.462580673888422,2.6743392074489174,468050
City of San Pablo,2024,9,0.6892668575824394,0.197867024534597,0.6343887005457097,0.2284674394846108,-0.6024070900167129,0.16156559161346978,141331,-6.242122320100624,2.795519373931442,-12.996724243168405,2.8114029849957127,467835
