municipality,year,month,ndvi_mean,ndvi_std,evi_mean,evi_std,ndwi_mean,ndwi_std,s2_valid_px,vv_mean,vv_std,vh_mean,vh_std,s1_valid_px
Alaminos,2022,4,0.7203734620757142,0.17874375013502078,0.715251050772227,0.27279440284400236,-0.6260076543541475,0.14194861870444997,40594,-5.805301708806337,2.3272471380265247,-12.825140244544219,2.4782055331955486,150273
Alaminos,2022,5,0.7936148431874088,0.1709919884384955,0.7088812275452846,0.3083462822286723,-0.6921212050217103,0.13607372997934328,97449,-5.454136127728355,2.2498105676259765,-12.711844104114691,2.3380193962432108,150289
Alaminos,2022,6,0.7154503240727409,0.17236514072421213,0.7348115549758267,0.21374437139544453,-0.6242510737657199,0.14090082779495255,35352,-5.520828725402317,2.424439792087791,-12.568014593858225,2.5129628184016624,150278
Alaminos,2022,7,0.7288040415980158,0.17615194666620884,0.7829126692570088,0.23058853331679363,-0.6186145757669513,0.1526500382440104,4920,-5.231997951253391,2.259568617483974,-12.390151479867704,2.314964439923066,150289
Alaminos,2022,8,0.7333380703907483,0.18675249427188217,0.6556903600375472,0.19933636243939495,-0.6393990245032566,0.15301936416084183,46822,-5.68649018072688,2.3001119283198985,-12.62530771793844,2.406988576738643,150287
Alaminos,2022,9,0.6962124132260749,0.13074503866350684,0.7725906089754648,0.18758613953453665,-0.5965063624493603,0.11520842502073662,19718,-5.781033857467801,2.2915040171756487,-12.627149832920585,2.39286217074599,150287
Alaminos,2022,10,0.7530374461620425,0.20024274770737294,0.7611481163923891,0.23832018192073592,-0.656110239842229,0.16922728659996303,31973,-5.678188077267241,2.3710637289835432,-12.475788353163805,2.5133714706752253,150285
Alaminos,2022,11,0.6342125386807267,0.15773566386087182,0.6811055680381901,1.0268698586975307,-0.5470419366676268,0.1360339994700454,17287,-5.5862696695112195,2.245345700311333,-12.38625432309706,2.366705609681406,150288
Alaminos,2022,12,0.7928878269965189,0.11072315452149994,0.6996292086837533,0.14370052481303877,-0.6932345114463375,0.09219497204109847,13372,-6.256710476397694,2.283554818629875,-13.046960164904542,2.435412186474979,150289
Alaminos,2023,1,0.8115947156132204,0.17429816585343422,0.6229251242421394,0.1753134901688638,-0.7235833709378896,0.14597161357394461,115643,-6.298162141367204,2.4018024110393594,-13.045295362648591,2.5594186342760556,150274
