municipality,year,month,rainfall_mm,temp_mean_c,days
Bay,2023,1,159.9,24.39,31
Bay,2023,2,53.2,25.05,28
Bay,2023,3,12.0,25.79,31
Bay,2023,4,137.8,27.07,30
Bay,2023,5,161.4,27.72,31
Bay,2023,6,262.0,27.19,30
Bay,2023,7,311.5,27.1,31
Bay,2023,8,127.3,27.56,31
Bay,2023,9,336.0,26.67,30
Bay,2023,10,156.4,26.66,31
Bay,2023,11,130.6,26.35,30
Bay,2023,12,73.7,26.02,31
Bay,2024,1,15.5,25.27,31
Bay,2024,2,7.1,25.93,29
Bay,2024,3,41.5,26.56,31
Bay,2024,4,9.8,28.98,30
Bay,2024,5,268.1,29.23,31
Bay,2024,6,391.6,27.44,30
Bay,2024,7,534.7,26.48,31
Bay,2024,8,262.5,27.07,31
Bay,2024,9,339.6,26.83,30
Bay,2024,10,416.5,26.52,31
Bay,2024,11,60.3,27.02,30
Bay,2024,12,269.1,25.5,31
Bay,2025,1,89.7,25.13,31
Bay,2025,2,169.7,25.28,28
Bay,2025,3,115.3,26.72,31
Bay,2025,4,30.0,29.25,30
Bay,2025,5,138.4,28.58,31
Bay,2025,6,317.5,26.89,30
Bay,2025,7,334.8,26.75,31
Bay,2025,8,310.7,26.36,31
Bay,2025,9,391.6,25.77,30
Bay,2025,10,268.9,26.14,31
Bay,2025,11,242.2,26.03,30
Bay,2025,12,77.7,25.49,31
Calauan,2018,1,124.3,25.06,31
Calauan,2018,2,14.4,25.37,28
Calauan,2018,3,59.4,25.84,31
Calauan,2018,4,58.3,27.3,30
Calauan,2018,5,20.1,28.84,31
Calauan,2018,6,226.7,27.22,30
Calauan,2018,7,608.7,26.02,31
Calauan,2018,8,218.9,26.67,31
Calauan,2018,9,474.3,26.23,30
Calauan,2018,10,95.5,26.58,31
Calauan,2018,11,66.9,26.36,30
Calauan,2018,12,372.0,25.5,31
Calauan,2019,1,29.6,24.58,31
Calauan,2019,2,10.8,24.51,28
