municipality,year,month,rainfall_mm,temp_mean_c,days
City of Calamba,2024,2,8.2,25.56,29
City of Calamba,2024,3,41.9,26.26,31
City of Calamba,2024,4,26.7,28.79,30
City of Calamba,2024,5,225.3,28.8,31
City of Calamba,2024,6,311.8,26.96,30
City of Calamba,2024,7,428.6,26.04,31
City of Calamba,2024,8,197.8,26.55,31
City of Calamba,2024,9,288.5,26.29,30
City of Calamba,2024,10,337.9,25.94,31
City of Calamba,2024,11,56.3,26.5,30
City of Calamba,2024,12,204.6,24.82,31
City of Calamba,2025,1,67.3,24.47,31
City of Calamba,2025,2,138.0,24.89,28
City of Calamba,2025,3,95.6,26.18,31
City of Calamba,2025,4,35.4,28.78,30
City of Calamba,2025,5,131.9,28.05,31
City of Calamba,2025,6,304.8,26.25,30
City of Calamba,2025,7,354.7,25.94,31
City of Calamba,2025,8,322.2,25.66,31
City of Calamba,2025,9,326.3,25.13,30
City of Calamba,2025,10,246.4,25.41,31
City of Calamba,2025,11,212.0,25.38,30
City of Calamba,2025,12,48.4,25.06,31
City of San Pablo,2018,1,117.8,24.68,31
City of San Pablo,2018,2,25.4,25.02,28
City of San Pablo,2018,3,56.4,25.46,31
City of San Pablo,2018,4,34.8,27.05,30
City of San Pablo,2018,5,70.3,28.4,31
City of San Pablo,2018,6,248.7,26.9,30
City of San Pablo,2018,7,581.1,25.84,31
City of San Pablo,2018,8,185.0,26.33,31
City of San Pablo,2018,9,435.9,25.98,30
City of San Pablo,2018,10,112.8,26.1,31
City of San Pablo,2018,11,43.0,25.94,30
City of San Pablo,2018,12,310.8,25.2,31
City of San Pablo,2019,1,16.4,23.97,31
City of San Pablo,2019,2,10.6,24.03,28
City of San Pablo,2019,3,29.7,25.99,31
City of San Pablo,2019,4,27.0,28.18,30
City of San Pablo,2019,5,142.9,27.65,31
City of San Pablo,2019,6,195.1,27.86,30
City of San Pablo,2019,7,314.0,26.53,31
City of San Pablo,2019,8,360.1,26.39,31
City of San Pablo,2019,9,377.6,26.11,30
City of San Pablo,2019,10,94.0,26.16,31
City of San Pablo,2019,11,135.4,25.77,30
City of San Pablo,2019,12,283.5,25.27,31
City of San Pablo,2020,1,47.7,24.78,31
City of San Pablo,2020,2,73.2,24.09,29
City of San Pablo,2020,3,28.0,26.36,31
City of San Pablo,2020,4,44.9,27.63,30
City of San Pablo,2020,5,243.3,28.34,31
City of San Pablo,2020,6,218.7,27.47,30
City of San Pablo,2020,7,265.0,26.85,31
City of San Pablo,2020,8,399.0,26.48,31
City of San Pablo,2020,9,241.0,26.79,30
City of San Pablo,2020,10,568.2,25.93,31
City of San Pablo,2020,11,473.0,25.73,30
City of San Pablo,2020,12,279.6,25.53,31
City of San Pablo,2021,1,162.0,24.43,31
City of San Pablo,2021,2,125.9,24.47,28
City of San Pablo,2021,3,99.9,25.69,31
City of San Pablo,2021,4,29.4,26.59,30
City of San Pablo,2021,5,82.3,28.29,31
City of San Pablo,2021,6,186.0,27.37,30
City of San Pablo,2021,7,352.0,26.6,31
City of San Pablo,2021,8,210.4,26.66,31
City of San Pablo,2021,9,426.8,26.29,30
City of San Pablo,2021,10,261.2,26.13,31
City of San Pablo,2021,11,93.5,26.38,30
City of San Pablo,2021,12,124.1,24.9,31
City of San Pablo,2022,1,49.2,24.54,31
City of San Pablo,2022,2,59.5,25.29,28
City of San Pablo,2022,3,72.8,26.81,31
City of San Pablo,2022,4,130.2,26.56,30
City of San Pablo,2022,5,167.0,27.44,31
City of San Pablo,2022,6,256.3,26.9,30
City of San Pablo,2022,7,304.1,26.55,31
City of San Pablo,2022,8,302.7,26.02,31
City of San Pablo,2022,9,274.8,26.14,30
City of San Pablo,2022,10,479.1,26.25,31
City of San Pablo,2022,11,132.1,26.16,30
City of San Pablo,2022,12,115.9,25.04,31
City of San Pablo,2023,1,161.4,24.34,31
City of San Pablo,2023,2,80.7,24.85,28
City of San Pablo,2023,3,28.7,25.41,31
City of San Pablo,2023,4,122.5,26.91,30
City of San Pablo,2023,5,134.7,27.48,31
City of San Pablo,2023,6,257.7,27.06,30
City of San Pablo,2023,7,281.8,26.96,31
City of San Pablo,2023,8,116.7,27.19,31
City of San Pablo,2023,9,313.6,26.53,30
City of San Pablo,2023,10,177.0,26.48,31
City of San Pablo,2023,11,141.5,26.31,30
City of San Pablo,2023,12,78.6,25.9,31
City of San Pablo,2024,1,20.4,24.95,31
City of San Pablo,2024,2,5.9,25.64,29
City of San Pablo,2024,3,39.4,26.46,31
City of San Pablo,2024,4,23.7,28.86,30
City of San Pablo,2024,5,285.4,29.18,31
City of San Pablo,2024,6,285.6,27.42,30
City of San Pablo,2024,7,362.1,26.55,31
City of San Pablo,2024,8,258.7,26.91,31
City of San Pablo,2024,9,325.0,26.7,30
City of San Pablo,2024,10,477.8,26.44,31
City of San Pablo,2024,11,49.5,26.89,30
City of San Pablo,2024,12,278.8,25.29,31
City of San Pablo,2025,1,122.4,24.8,31
City of San Pablo,2025,2,144.6,24.87,28
City of San Pablo,2025,3,75.1,26.6,31
City of San Pablo,2025,4,33.1,29.11,30
City of San Pablo,2025,5,117.9,28.43,31
City of San Pablo,2025,6,321.2,26.54,30
City of San Pablo,2025,7,348.8,26.36,31
City of San Pablo,2025,8,302.1,26.01,31
City of San Pablo,2025,9,439.2,25.43,30
City of San Pablo,2025,10,262.1,25.8,31
City of San Pablo,2025,11,260.2,25.81,30
City of San Pablo,2025,12,80.7,25.31,31
City of San Pedro,2018,1,204.9,24.87,31
City of San Pedro,2018,2,13.9,25.3,28
City of San Pedro,2018,3,60.3,25.97,31
City of San Pedro,2018,4,83.9,27.4,30
City of San Pedro,2018,5,42.1,28.83,31
City of San Pedro,2018,6,224.1,26.89,30
City of San Pedro,2018,7,482.5,25.78,31
City of San Pedro,2018,8,177.0,26.34,31
City of San Pedro,2018,9,362.8,26.03,30
City of San Pedro,2018,10,95.2,26.47,31
City of San Pedro,2018,11,87.6,26.39,30
City of San Pedro,2018,12,348.9,25.55,31
City of San Pedro,2019,1,26.5,24.57,31
City of San Pedro,2019,2,7.8,24.89,28
City of San Pedro,2019,3,9.1,26.61,31
City of San Pedro,2019,4,18.8,28.52,30
City of San Pedro,2019,5,210.9,27.85,31
City of San Pedro,2019,6,279.1,27.95,30
City of San Pedro,2019,7,293.3,26.57,31
City of San Pedro,2019,8,362.9,26.43,31
City of San Pedro,2019,9,378.6,26.08,30
City of San Pedro,2019,10,65.3,26.65,31
City of San Pedro,2019,11,117.7,26.17,30
City of San Pedro,2019,12,180.8,25.72,31
City of San Pedro,2020,1,46.4,25.32,31
City of San Pedro,2020,2,32.5,24.98,29
City of San Pedro,2020,3,9.7,27.15,31
City of San Pedro,2020,4,20.3,28.24,30
City of San Pedro,2020,5,286.8,28.68,31
City of San Pedro,2020,6,242.9,27.68,30
City of San Pedro,2020,7,337.4,27.06,31
City of San Pedro,2020,8,306.8,26.53,31
City of San Pedro,2020,9,237.9,26.87,30
City of San Pedro,2020,10,484.0,26.05,31
City of San Pedro,2020,11,423.3,25.94,30
City of San Pedro,2020,12,345.5,25.65,31
City of San Pedro,2021,1,132.8,24.65,31
City of San Pedro,2021,2,68.2,24.76,28
City of San Pedro,2021,3,56.8,26.33,31
City of San Pedro,2021,4,16.8,27.65,30
City of San Pedro,2021,5,80.9,28.73,31
City of San Pedro,2021,6,269.4,27.46,30
City of San Pedro,2021,7,273.5,26.94,31
City of San Pedro,2021,8,250.0,26.91,31
City of San Pedro,2021,9,446.1,26.45,30
City of San Pedro,2021,10,234.3,26.31,31
City of San Pedro,2021,11,64.5,26.93,30
City of San Pedro,2021,12,78.5,25.55,31
City of San Pedro,2022,1,32.3,25.52,31
City of San Pedro,2022,2,28.8,26.04,28
City of San Pedro,2022,3,32.6,27.61,31
City of San Pedro,2022,4,64.0,27.42,30
City of San Pedro,2022,5,289.1,27.85,31
City of San Pedro,2022,6,324.6,27.24,30
City of San Pedro,2022,7,376.5,26.6,31
City of San Pedro,2022,8,528.4,26.05,31
City of San Pedro,2022,9,357.0,26.15,30
City of San Pedro,2022,10,485.2,26.4,31
City of San Pedro,2022,11,113.6,26.3,30
City of San Pedro,2022,12,99.8,25.32,31
City of San Pedro,2023,1,114.5,24.79,31
City of San Pedro,2023,2,70.9,25.6,28
City of San Pedro,2023,3,11.6,26.46,31
City of San Pedro,2023,4,134.2,27.51,30
City of San Pedro,2023,5,127.0,28.3,31
City of San Pedro,2023,6,284.7,27.39,30
City of San Pedro,2023,7,314.1,27.34,31
City of San Pedro,2023,8,77.0,27.73,31
City of San Pedro,2023,9,294.1,26.96,30
City of San Pedro,2023,10,148.2,27.0,31
City of San Pedro,2023,11,85.2,27.1,30
City of San Pedro,2023,12,37.5,26.71,31
City of San Pedro,2024,1,10.6,25.82,31
City of San Pedro,2024,2,10.1,26.22,29
City of San Pedro,2024,3,24.1,26.86,31
City of San Pedro,2024,4,11.8,29.14,30
City of San Pedro,2024,5,225.4,29.3,31
City of San Pedro,2024,6,348.6,27.71,30
City of San Pedro,2024,7,474.7,26.65,31
City of San Pedro,2024,8,239.8,27.08,31
City of San Pedro,2024,9,290.4,26.83,30
City of San Pedro,2024,10,349.0,26.68,31
City of San Pedro,2024,11,80.8,27.33,30
City of San Pedro,2024,12,171.3,25.77,31
City of San Pedro,2025,1,50.6,25.41,31
City of San Pedro,2025,2,89.2,25.65,28
City of San Pedro,2025,3,58.4,26.95,31
City of San Pedro,2025,4,15.7,29.36,30
City of San Pedro,2025,5,145.2,28.59,31
City of San Pedro,2025,6,346.7,26.84,30
City of San Pedro,2025,7,370.6,26.62,31
City of San Pedro,2025,8,295.5,26.61,31
City of San Pedro,2025,9,341.4,25.92,30
City of San Pedro,2025,10,238.1,26.44,31
City of San Pedro,2025,11,219.9,26.5,30
City of San Pedro,2025,12,64.5,26.24,31
City of Santa Rosa,2018,1,165.6,24.46,31
City of Santa Rosa,2018,2,20.2,24.91,28
City of Santa Rosa,2018,3,79.7,25.49,31
City of Santa Rosa,2018,4,113.6,26.92,30
City of Santa Rosa,2018,5,78.2,28.43,31
City of Santa Rosa,2018,6,259.5,26.73,30
City of Santa Rosa,2018,7,439.6,25.73,31
City of Santa Rosa,2018,8,151.1,26.19,31
City of Santa Rosa,2018,9,370.8,25.87,30
City of Santa Rosa,2018,10,93.2,26.1,31
City of Santa Rosa,2018,11,97.2,25.94,30
City of Santa Rosa,2018,12,349.7,25.11,31
City of Santa Rosa,2019,1,31.1,24.14,31
City of Santa Rosa,2019,2,12.6,24.4,28
City of Santa Rosa,2019,3,10.6,26.19,31
City of Santa Rosa,2019,4,47.1,28.09,30
City of Santa Rosa,2019,5,223.4,27.48,31
City of Santa Rosa,2019,6,319.5,27.62,30
City of Santa Rosa,2019,7,310.7,26.4,31
City of Santa Rosa,2019,8,379.4,26.32,31
City of Santa Rosa,2019,9,338.3,25.93,30
City of Santa Rosa,2019,10,97.6,26.18,31
City of Santa Rosa,2019,11,139.6,25.68,30
City of Santa Rosa,2019,12,204.3,25.2,31
City of Santa Rosa,2020,1,61.3,24.8,31
City of Santa Rosa,2020,2,49.3,24.44,29
City of Santa Rosa,2020,3,14.4,26.69,31
City of Santa Rosa,2020,4,28.9,27.84,30
City of Santa Rosa,2020,5,239.6,28.4,31
City of Santa Rosa,2020,6,263.1,27.31,30
City of Santa Rosa,2020,7,333.0,26.76,31
City of Santa Rosa,2020,8,313.8,26.33,31
City of Santa Rosa,2020,9,235.6,26.66,30
City of Santa Rosa,2020,10,550.6,25.79,31
City of Santa Rosa,2020,11,428.7,25.57,30
City of Santa Rosa,2020,12,368.9,25.25,31
City of Santa Rosa,2021,1,113.8,24.2,31
City of Santa Rosa,2021,2,76.6,24.31,28
City of Santa Rosa,2021,3,76.3,25.8,31
City of Santa Rosa,2021,4,16.6,27.11,30
City of Santa Rosa,2021,5,106.8,28.24,31
City of Santa Rosa,2021,6,261.1,27.27,30
City of Santa Rosa,2021,7,314.7,26.68,31
City of Santa Rosa,2021,8,248.9,26.56,31
City of Santa Rosa,2021,9,395.8,26.16,30
City of Santa Rosa,2021,10,234.5,25.94,31
City of Santa Rosa,2021,11,64.6,26.37,30
City of Santa Rosa,2021,12,97.0,24.97,31
City of Santa Rosa,2022,1,42.6,24.98,31
City of Santa Rosa,2022,2,41.4,25.54,28
City of Santa Rosa,2022,3,63.6,27.11,31
City of Santa Rosa,2022,4,122.2,26.88,30
City of Santa Rosa,2022,5,238.6,27.51,31
City of Santa Rosa,2022,6,315.0,26.86,30
City of Santa Rosa,2022,7,366.4,26.34,31
City of Santa Rosa,2022,8,439.8,25.88,31
City of Santa Rosa,2022,9,332.9,26.05,30
City of Santa Rosa,2022,10,459.5,26.11,31
City of Santa Rosa,2022,11,94.1,25.9,30
City of Santa Rosa,2022,12,122.2,24.85,31
City of Santa Rosa,2023,1,102.1,24.28,31
City of Santa Rosa,2023,2,62.5,25.05,28
City of Santa Rosa,2023,3,20.4,25.93,31
City of Santa Rosa,2023,4,152.3,27.07,30
City of Santa Rosa,2023,5,145.2,27.77,31
City of Santa Rosa,2023,6,249.6,27.08,30
City of Santa Rosa,2023,7,302.7,26.99,31
City of Santa Rosa,2023,8,76.7,27.56,31
City of Santa Rosa,2023,9,279.8,26.67,30
City of Santa Rosa,2023,10,133.9,26.52,31
City of Santa Rosa,2023,11,85.4,26.39,30
City of Santa Rosa,2023,12,51.6,26.06,31
City of Santa Rosa,2024,1,8.3,25.26,31
City of Santa Rosa,2024,2,14.0,25.79,29
City of Santa Rosa,2024,3,30.1,26.42,31
City of Santa Rosa,2024,4,31.7,28.72,30
City of Santa Rosa,2024,5,246.1,28.86,31
City of Santa Rosa,2024,6,320.8,27.37,30
City of Santa Rosa,2024,7,431.0,26.38,31
City of Santa Rosa,2024,8,253.6,26.87,31
City of Santa Rosa,2024,9,309.2,26.67,30
City of Santa Rosa,2024,10,294.0,26.38,31
City of Santa Rosa,2024,11,81.3,26.84,30
City of Santa Rosa,2024,12,204.4,25.29,31
City of Santa Rosa,2025,1,68.0,24.88,31
City of Santa Rosa,2025,2,136.1,25.14,28
City of Santa Rosa,2025,3,70.3,26.33,31
City of Santa Rosa,2025,4,26.8,28.8,30
City of Santa Rosa,2025,5,131.2,28.18,31
City of Santa Rosa,2025,6,329.7,26.61,30
City of Santa Rosa,2025,7,345.6,26.48,31
City of Santa Rosa,2025,8,320.6,26.3,31
City of Santa Rosa,2025,9,342.4,25.65,30
City of Santa Rosa,2025,10,244.9,25.99,31
City of Santa Rosa,2025,11,208.9,25.95,30
City of Santa Rosa,2025,12,53.2,25.55,31
Famy,2018,1,274.7,24.48,31
Famy,2018,2,19.6,24.85,28
Famy,2018,3,46.0,25.15,31
Famy,2018,4,95.2,26.63,30
Famy,2018,5,17.4,28.19,31
Famy,2018,6,307.2,26.82,30
Famy,2018,7,487.8,25.83,31
Famy,2018,8,309.8,26.2,31
Famy,2018,9,336.9,26.16,30
Famy,2018,10,90.7,26.33,31
Famy,2018,11,148.6,25.69,30
Famy,2018,12,608.9,24.96,31
Famy,2019,1,93.2,24.03,31
Famy,2019,2,31.1,24.16,28
Famy,2019,3,8.7,25.94,31
Famy,2019,4,20.0,27.72,30
Famy,2019,5,177.3,27.8,31
Famy,2019,6,213.1,27.72,30
Famy,2019,7,308.0,26.67,31
Famy,2019,8,493.4,26.26,31
Famy,2019,9,498.1,26.07,30
Famy,2019,10,100.5,26.18,31
Famy,2019,11,157.0,25.85,30
Famy,2019,12,224.1,25.18,31
Famy,2020,1,95.6,24.71,31
Famy,2020,2,85.2,23.94,29
Famy,2020,3,27.2,25.95,31
Famy,2020,4,36.2,26.96,30
Famy,2020,5,318.4,28.19,31
Famy,2020,6,208.1,27.5,30
Famy,2020,7,207.9,27.28,31
Famy,2020,8,328.5,26.75,31
Famy,2020,9,227.8,27.11,30
Famy,2020,10,550.0,26.24,31
Famy,2020,11,473.7,25.79,30
Famy,2020,12,348.6,25.55,31
Famy,2021,1,165.9,24.34,31
Famy,2021,2,249.0,24.46,28
Famy,2021,3,105.8,25.73,31
Famy,2021,4,53.7,26.4,30
Famy,2021,5,74.5,27.66,31
Famy,2021,6,234.6,27.37,30
Famy,2021,7,425.7,26.6,31
Famy,2021,8,253.5,26.79,31
Famy,2021,9,397.3,26.54,30
Famy,2021,10,222.0,26.25,31
Famy,2021,11,98.4,26.08,30
Famy,2021,12,236.1,24.56,31
Famy,2022,1,62.4,24.46,31
Famy,2022,2,80.2,24.63,28
Famy,2022,3,53.3,26.3,31
Famy,2022,4,99.6,26.13,30
Famy,2022,5,207.4,27.25,31
Famy,2022,6,242.1,27.24,30
Famy,2022,7,337.7,26.88,31
Famy,2022,8,353.9,26.35,31
Famy,2022,9,337.3,26.23,30
Famy,2022,10,382.7,26.32,31
Famy,2022,11,144.2,25.92,30
Famy,2022,12,213.9,24.72,31
Famy,2023,1,260.0,23.99,31
Famy,2023,2,97.1,24.59,28
Famy,2023,3,15.3,25.17,31
Famy,2023,4,109.5,26.84,30
Famy,2023,5,161.5,27.58,31
Famy,2023,6,207.3,27.24,30
Famy,2023,7,292.2,26.95,31
Famy,2023,8,203.6,26.81,31
Famy,2023,9,262.7,26.75,30
Famy,2023,10,137.9,26.39,31
Famy,2023,11,149.9,25.79,30
Famy,2023,12,171.2,25.3,31
Famy,2024,1,51.2,24.3,31
Famy,2024,2,50.0,24.75,29
Famy,2024,3,65.4,25.26,31
Famy,2024,4,19.1,27.62,30
Famy,2024,5,239.0,28.36,31
Famy,2024,6,279.8,27.47,30
Famy,2024,7,408.2,26.64,31
Famy,2024,8,252.8,27.0,31
Famy,2024,9,383.9,26.62,30
Famy,2024,10,318.7,26.42,31
Famy,2024,11,135.9,26.2,30
Famy,2024,12,383.6,24.85,31
Famy,2025,1,204.0,24.22,31
Famy,2025,2,183.2,24.4,28
Famy,2025,3,92.8,25.37,31
Famy,2025,4,19.8,27.77,30
Famy,2025,5,58.9,28.05,31
Famy,2025,6,269.0,26.7,30
Famy,2025,7,484.1,26.2,31
Famy,2025,8,371.7,26.3,31
Famy,2025,9,340.5,25.64,30
Famy,2025,10,221.7,26.0,31
Famy,2025,11,319.1,25.62,30
Famy,2025,12,109.2,24.86,31
Kalayaan,2018,1,254.2,22.77,31
Kalayaan,2018,2,44.3,23.05,28
Kalayaan,2018,3,119.8,23.32,31
Kalayaan,2018,4,150.7,24.61,30
Kalayaan,2018,5,97.6,25.93,31
Kalayaan,2018,6,272.2,25.29,30
Kalayaan,2018,7,503.9,24.33,31
Kalayaan,2018,8,334.5,24.83,31
Kalayaan,2018,9,481.4,24.55,30
Kalayaan,2018,10,180.1,24.54,31
Kalayaan,2018,11,277.0,23.86,30
Kalayaan,2018,12,822.8,23.09,31
Kalayaan,2019,1,176.9,22.29,31
Kalayaan,2019,2,65.7,22.41,28
Kalayaan,2019,3,29.6,23.92,31
Kalayaan,2019,4,52.4,25.7,30
Kalayaan,2019,5,290.0,26.08,31
Kalayaan,2019,6,248.1,26.06,30
Kalayaan,2019,7,348.9,25.12,31
Kalayaan,2019,8,404.6,24.86,31
Kalayaan,2019,9,405.7,24.57,30
Kalayaan,2019,10,233.0,24.3,31
Kalayaan,2019,11,329.1,24.08,30
Kalayaan,2019,12,448.3,23.38,31
Kalayaan,2020,1,193.8,22.96,31
Kalayaan,2020,2,181.2,22.19,29
Kalayaan,2020,3,74.2,24.1,31
Kalayaan,2020,4,103.8,25.0,30
Kalayaan,2020,5,431.0,26.33,31
Kalayaan,2020,6,326.1,25.65,30
Kalayaan,2020,7,368.7,25.47,31
Kalayaan,2020,8,407.5,25.11,31
Kalayaan,2020,9,302.4,25.51,30
Kalayaan,2020,10,740.9,24.39,31
Kalayaan,2020,11,686.0,23.85,30
Kalayaan,2020,12,559.6,23.7,31
Kalayaan,2021,1,322.4,22.57,31
Kalayaan,2021,2,224.1,22.68,28
Kalayaan,2021,3,238.0,23.86,31
Kalayaan,2021,4,82.8,24.52,30
Kalayaan,2021,5,174.7,25.74,31
Kalayaan,2021,6,299.5,25.75,30
Kalayaan,2021,7,529.1,24.95,31
Kalayaan,2021,8,352.6,25.24,31
Kalayaan,2021,9,479.3,24.79,30
Kalayaan,2021,10,322.3,24.42,31
Kalayaan,2021,11,188.0,24.18,30
Kalayaan,2021,12,350.3,22.73,31
Kalayaan,2022,1,102.2,22.67,31
Kalayaan,2022,2,160.1,22.81,28
Kalayaan,2022,3,109.2,24.41,31
Kalayaan,2022,4,181.3,24.17,30
Kalayaan,2022,5,233.5,25.48,31
Kalayaan,2022,6,298.4,25.32,30
Kalayaan,2022,7,405.9,25.13,31
Kalayaan,2022,8,456.5,24.71,31
Kalayaan,2022,9,329.5,24.68,30
Kalayaan,2022,10,521.6,24.48,31
Kalayaan,2022,11,311.2,24.05,30
Kalayaan,2022,12,375.2,22.82,31
Kalayaan,2023,1,408.5,22.09,31
Kalayaan,2023,2,195.2,22.8,28
Kalayaan,2023,3,38.0,23.28,31
Kalayaan,2023,4,152.0,24.87,30
Kalayaan,2023,5,191.1,25.74,31
Kalayaan,2023,6,278.3,25.6,30
Kalayaan,2023,7,312.8,25.4,31
Kalayaan,2023,8,171.3,25.62,31
Kalayaan,2023,9,316.0,25.29,30
Kalayaan,2023,10,213.4,24.66,31
Kalayaan,2023,11,332.7,23.94,30
Kalayaan,2023,12,277.3,23.51,31
Kalayaan,2024,1,106.1,22.64,31
Kalayaan,2024,2,92.3,23.09,29
Kalayaan,2024,3,115.4,23.63,31
Kalayaan,2024,4,30.9,25.95,30
Kalayaan,2024,5,307.6,26.48,31
Kalayaan,2024,6,289.0,25.85,30
Kalayaan,2024,7,459.8,24.94,31
Kalayaan,2024,8,277.3,25.49,31
Kalayaan,2024,9,410.1,25.17,30
Kalayaan,2024,10,391.9,24.73,31
Kalayaan,2024,11,191.3,24.51,30
Kalayaan,2024,12,631.2,23.12,31
Kalayaan,2025,1,329.9,22.53,31
Kalayaan,2025,2,330.1,22.75,28
Kalayaan,2025,3,166.5,23.66,31
Kalayaan,2025,4,29.3,25.82,30
Kalayaan,2025,5,129.1,25.98,31
Kalayaan,2025,6,331.8,25.18,30
Kalayaan,2025,7,346.9,24.95,31
Kalayaan,2025,8,386.6,24.79,31
Kalayaan,2025,9,390.5,24.04,30
Kalayaan,2025,10,313.4,24.25,31
Kalayaan,2025,11,449.5,23.91,30
Kalayaan,2025,12,203.7,23.12,31
Liliw,2018,1,128.7,23.47,31
Liliw,2018,2,24.1,23.71,28
Liliw,2018,3,85.8,24.08,31
Liliw,2018,4,43.6,25.64,30
Liliw,2018,5,35.0,27.12,31
Liliw,2018,6,230.7,25.81,30
Liliw,2018,7,516.4,24.72,31
Liliw,2018,8,250.7,25.19,31
Liliw,2018,9,394.1,24.86,30
Liliw,2018,10,115.7,25.06,31
Liliw,2018,11,100.0,24.67,30
Liliw,2018,12,435.2,23.92,31
Liliw,2019,1,62.9,22.93,31
Liliw,2019,2,16.4,22.97,28
Liliw,2019,3,19.0,24.74,31
Liliw,2019,4,31.4,26.62,30
Liliw,2019,5,220.1,26.36,31
Liliw,2019,6,229.0,26.57,30
Liliw,2019,7,328.4,25.43,31
Liliw,2019,8,405.0,25.18,31
Liliw,2019,9,458.4,24.97,30
Liliw,2019,10,131.1,24.99,31
Liliw,2019,11,152.2,24.66,30
Liliw,2019,12,402.5,24.1,31
Liliw,2020,1,78.8,23.59,31
Liliw,2020,2,96.9,22.85,29
Liliw,2020,3,27.7,24.94,31
Liliw,2020,4,30.7,26.13,30
Liliw,2020,5,355.6,27.12,31
Liliw,2020,6,228.3,26.34,30
Liliw,2020,7,302.2,25.89,31
Liliw,2020,8,495.3,25.46,31
Liliw,2020,9,246.6,25.82,30
Liliw,2020,10,691.9,24.93,31
Liliw,2020,11,545.1,24.57,30
Liliw,2020,12,331.5,24.43,31
Liliw,2021,1,218.7,23.2,31
Liliw,2021,2,177.5,23.29,28
Liliw,2021,3,162.5,24.59,31
Liliw,2021,4,35.7,25.28,30
Liliw,2021,5,75.5,26.7,31
Liliw,2021,6,375.9,26.07,30
Liliw,2021,7,424.6,25.47,31
Liliw,2021,8,330.1,25.58,31
Liliw,2021,9,406.0,25.28,30
Liliw,2021,10,198.9,25.04,31
Liliw,2021,11,93.9,25.04,30
Liliw,2021,12,164.4,23.49,31
Liliw,2022,1,61.7,23.28,31
Liliw,2022,2,91.0,23.76,28
Liliw,2022,3,52.4,25.32,31
Liliw,2022,4,102.9,25.2,30
Liliw,2022,5,195.2,26.24,31
Liliw,2022,6,253.6,25.91,30
Liliw,2022,7,385.4,25.57,31
Liliw,2022,8,397.1,25.07,31
Liliw,2022,9,315.5,25.03,30
Liliw,2022,10,547.4,25.11,31
Liliw,2022,11,133.3,24.94,30
Liliw,2022,12,193.6,23.61,31
Liliw,2023,1,208.5,22.9,31
Liliw,2023,2,123.2,23.49,28
Liliw,2023,3,21.2,24.0,31
Liliw,2023,4,140.5,25.57,30
Liliw,2023,5,230.4,26.25,31
Liliw,2023,6,263.7,26.0,30
Liliw,2023,7,296.1,26.08,31
Liliw,2023,8,155.7,26.13,31
Liliw,2023,9,365.6,25.67,30
Liliw,2023,10,183.6,25.53,31
Liliw,2023,11,201.1,25.04,30
Liliw,2023,12,145.8,24.59,31
Liliw,2024,1,39.3,23.58,31
Liliw,2024,2,30.6,24.11,29
Liliw,2024,3,66.6,24.75,31
Liliw,2024,4,18.0,27.22,30
Liliw,2024,5,344.7,27.66,31
Liliw,2024,6,361.2,26.54,30
Liliw,2024,7,382.6,25.7,31
Liliw,2024,8,277.3,25.96,31
Liliw,2024,9,377.6,25.8,30
Liliw,2024,10,464.9,25.5,31
Liliw,2024,11,119.4,25.57,30
Liliw,2024,12,378.1,24.05,31
Liliw,2025,1,209.1,23.45,31
Liliw,2025,2,165.6,23.65,28
Liliw,2025,3,104.6,24.73,31
Liliw,2025,4,22.6,27.47,30
Liliw,2025,5,112.5,27.21,31
Liliw,2025,6,449.0,25.64,30
Liliw,2025,7,385.6,25.4,31
Liliw,2025,8,416.8,25.19,31
Liliw,2025,9,512.2,24.67,30
Liliw,2025,10,324.0,24.96,31
Liliw,2025,11,320.9,24.78,30
Liliw,2025,12,138.7,24.11,31
Los Baños,2018,1,135.5,23.65,31
Los Baños,2018,2,19.5,24.05,28
Los Baños,2018,3,70.0,24.65,31
Los Baños,2018,4,76.0,26.05,30
Los Baños,2018,5,55.8,27.65,31
Los Baños,2018,6,245.2,25.87,30
Los Baños,2018,7,580.2,24.73,31
Los Baños,2018,8,191.4,25.33,31
Los Baños,2018,9,466.4,24.95,30
Los Baños,2018,10,90.5,25.26,31
Los Baños,2018,11,67.7,25.19,30
Los Baños,2018,12,357.0,24.24,31
Los Baños,2019,1,32.2,23.28,31
Los Baños,2019,2,11.6,23.32,28
Los Baños,2019,3,16.9,25.13,31
Los Baños,2019,4,30.2,27.25,30
Los Baños,2019,5,218.4,26.54,31
Los Baños,2019,6,260.1,26.71,30
Los Baños,2019,7,335.8,25.42,31
Los Baños,2019,8,354.5,25.38,31
Los Baños,2019,9,362.2,25.01,30
Los Baños,2019,10,93.3,25.35,31
Los Baños,2019,11,141.8,24.75,30
Los Baños,2019,12,251.4,24.27,31
Los Baños,2020,1,70.0,23.81,31
Los Baños,2020,2,83.3,23.28,29
Los Baños,2020,3,13.5,25.5,31
Los Baños,2020,4,33.5,26.84,30
Los Baños,2020,5,246.5,27.38,31
Los Baños,2020,6,260.6,26.43,30
Los Baños,2020,7,305.4,25.85,31
Los Baños,2020,8,361.4,25.44,31
Los Baños,2020,9,231.2,25.76,30
Los Baños,2020,10,633.5,24.79,31
Los Baños,2020,11,459.1,24.68,30
Los Baños,2020,12,347.3,24.39,31
Los Baños,2021,1,134.9,23.4,31
